Date,Open,High,Low,Close,Adj Close,Volume
20-mars-19,84.389999,84.750000,81.110001,81.389999,72.504601,768100
21-mars-19,81.300003,83.660004,81.099998,82.680000,73.653778,717500
22-mars-19,82.199997,82.830002,79.529999,79.580002,70.892189,553800
25-mars-19,79.570000,81.239998,78.800003,80.250000,71.489067,562400
26-mars-19,81.139999,83.169998,80.790001,82.260002,73.279633,696800
27-mars-19,82.680000,84.470001,82.680000,83.849998,74.696053,442500
28-mars-19,84.480003,86.400002,84.379997,85.470001,76.139175,501500
29-mars-19,85.339996,85.620003,84.019997,84.430000,75.212730,684700
04-janv.-19,85.290001,86.900002,85.290001,86.250000,76.834038,461400
04-févr.-19,86.029999,86.389999,84.870003,85.660004,76.308434,353200
04-mars-19,86.000000,88.180000,86.000000,87.720001,78.143555,517600
04-avr.-19,87.739998,90.510002,87.739998,89.559998,79.782684,580000
04-mai-19,90.389999,91.540001,88.320000,91.230003,81.270355,1054600
04-août-19,93.449997,95.500000,92.809998,95.470001,85.047493,1049800
04-sept.-19,94.949997,95.330002,92.519997,92.989998,82.838226,581200
04-oct.-19,93.459999,94.730003,93.029999,94.709999,84.370461,509300
04-nov.-19,95.000000,96.190002,94.290001,94.949997,84.584251,562700
04-déc.-19,95.410004,96.660004,95.059998,96.449997,85.920486,506700
15-avr.-19,96.599998,97.879997,95.809998,96.550003,86.009583,679600
16-avr.-19,97.309998,99.339996,96.339996,98.730003,87.951607,495000
17-avr.-19,99.279999,100.139999,98.209999,98.410004,87.666527,803600
18-avr.-19,98.500000,99.500000,97.739998,98.790001,88.005051,600800
22-avr.-19,98.389999,99.510002,97.879997,98.970001,88.165398,709800
23-avr.-19,100.089996,101.849998,95.839996,97.750000,87.078583,2180300
24-avr.-19,99.169998,99.589996,95.860001,96.779999,86.214470,1421300
25-avr.-19,96.449997,96.989998,94.599998,94.790001,84.441719,944000
26-avr.-19,95.650002,98.489998,94.580002,97.449997,86.811317,801300
29-avr.-19,97.599998,98.680000,96.279999,96.459999,85.929413,787000
30-avr.-19,96.699997,97.080002,94.510002,96.400002,85.875954,765800
05-janv.-19,96.980003,99.480003,96.000000,97.949997,87.256752,900400
05-févr.-19,99.010002,102.110001,98.480003,102.019997,90.882416,875800
05-mars-19,102.480003,103.190002,100.389999,101.290001,90.232109,494800
05-juin-19,99.550003,99.550003,94.260002,96.070000,85.581985,1230600
05-juil.-19,94.720001,96.000000,92.129997,93.019997,82.864952,915300
05-août-19,92.919998,93.779999,90.660004,90.750000,80.842781,1073100
05-sept.-19,89.389999,90.459999,87.629997,89.870003,80.058853,1135900
05-oct.-19,89.489998,89.879997,86.339996,88.760002,79.070015,811800
13-mai-19,85.559998,86.879997,82.440002,86.129997,76.727135,1057700
14-mai-19,86.550003,89.089996,85.820000,88.629997,78.954193,625600
15-mai-19,88.239998,89.320000,87.110001,88.790001,79.096733,456600
16-mai-19,88.989998,90.410004,88.839996,89.199997,79.461983,326900
17-mai-19,88.250000,88.250000,85.750000,85.839996,76.468796,588900
20-mai-19,84.720001,86.040001,84.070000,85.930000,76.548988,439500
21-mai-19,89.349998,90.160004,87.720001,90.019997,80.192474,677100
22-mai-19,88.599998,90.040001,87.550003,89.419998,79.657967,524700
23-mai-19,88.239998,88.239998,85.639999,86.470001,77.030029,544700
24-mai-19,87.370003,87.370003,86.000000,86.339996,76.914207,297300
28-mai-19,86.559998,87.139999,84.730003,84.989998,75.711609,409500
29-mai-19,84.550003,85.070000,83.330002,84.669998,75.426537,304300
30-mai-19,84.750000,86.860001,84.260002,85.330002,76.014473,390900
31-mai-19,83.540001,83.540001,79.010002,79.879997,71.671814,1062000
06-mars-19,79.919998,80.930000,79.750000,80.470001,72.201187,834200
06-avr.-19,81.900002,84.589996,81.370003,84.000000,75.368454,1445900
